"Fecha","LMT.Open","LMT.High","LMT.Low","LMT.Close","LMT.Volume","LMT.Adjusted"
2017-03-01,269.089996337891,270,267.329986572266,268.380004882812,1125600,226.372512817383
2017-03-02,269,269,266.220001220703,266.989990234375,954200,225.200103759766
2017-03-03,267.070007324219,268.329986572266,266.25,267.760009765625,771100,225.849594116211
2017-03-06,267.429992675781,268.480010986328,266.799987792969,267.720001220703,778300,225.815811157227
2017-03-07,267.309997558594,269.380004882812,267.299987792969,269.040008544922,884000,226.929214477539
2017-03-08,269,269.049987792969,267.309997558594,267.720001220703,818000,225.815811157227
2017-03-09,268,269,267.540008544922,268.679992675781,729400,226.625549316406
2017-03-10,269.899993896484,269.899993896484,267.269989013672,268.660003662109,687200,226.608673095703
2017-03-13,268.510009765625,269.260009765625,268,269.190002441406,819100,227.055725097656
2017-03-14,268.929992675781,269.149993896484,267.380004882812,268,701600,226.052001953125
2017-03-15,268,269.869995117188,267.75,269.440002441406,748500,227.266586303711
2017-03-16,270.679992675781,270.679992675781,267.130004882812,267.940002441406,982200,226.001373291016
2017-03-17,268.779998779297,272.179992675781,268.299987792969,271.980010986328,2127700,229.409103393555
2017-03-20,272.160003662109,274.570007324219,271.630004882812,272.029998779297,1325000,229.451156616211
2017-03-21,272.350006103516,273.019989013672,268.359985351562,269,1359600,226.895523071289
2017-03-22,268.829986572266,270.279998779297,267.910003662109,269.420013427734,1021200,227.249710083008
2017-03-23,269.420013427734,271.470001220703,268.980010986328,269.5,803800,227.317245483398
2017-03-24,269.829986572266,269.980010986328,266.730010986328,267.420013427734,870500,225.562850952148
2017-03-27,265.649993896484,267.880004882812,264.040008544922,267.160003662109,994300,225.343490600586
2017-03-28,266.630004882812,270.790008544922,266.019989013672,269.119995117188,1021300,226.996719360352
2017-03-29,268.920013427734,268.920013427734,267.260009765625,268.239990234375,814100,226.254470825195
2017-03-30,268.559997558594,270.929992675781,268.209991455078,270.540008544922,562200,228.194442749023
2017-03-31,270.470001220703,270.470001220703,267.600006103516,267.600006103516,1214400,225.714584350586
2017-04-03,267.600006103516,269.299987792969,267.350006103516,268.679992675781,799100,226.625549316406
2017-04-04,268.540008544922,270.049987792969,268.25,269.559997558594,567900,227.36784362793
2017-04-05,269.839996337891,270.950012207031,266.809997558594,266.980010986328,949500,225.191635131836
2017-04-06,266.869995117188,267.790008544922,266.320007324219,267.109985351562,740400,225.301239013672
2017-04-07,272.339996337891,272.339996337891,268.179992675781,270.230010986328,1020800,227.932968139648
2017-04-10,270.190002441406,271.359985351562,268.829986572266,269.029998779297,789300,226.920745849609
2017-04-11,269,270.519989013672,268.179992675781,270.269989013672,744400,227.966659545898
2017-04-12,269.890014648438,270.480010986328,268.040008544922,268.510009765625,955400,226.482162475586
2017-04-13,268.140014648438,270.279998779297,268,268,764000,226.052001953125
2017-04-17,268.130004882812,269.899993896484,267.910003662109,269.880004882812,811600,227.637756347656
2017-04-18,269.880004882812,270.700012207031,268.220001220703,268.779998779297,762800,226.709945678711
2017-04-19,269.690002441406,270.049987792969,268.670013427734,269.630004882812,815900,227.426879882812
2017-04-20,270.149993896484,273.200012207031,269.670013427734,271.850006103516,814600,229.299407958984
2017-04-21,272.200012207031,274.489990234375,272,273.089996337891,955500,230.345230102539
2017-04-24,275.540008544922,276.640014648438,274.309997558594,276.209991455078,1098800,232.976928710938
2017-04-25,273.899993896484,274.5,267.679992675781,270.019989013672,2963900,227.755798339844
2017-04-26,270.589996337891,272.510009765625,269.540008544922,270.350006103516,1477200,228.0341796875
2017-04-27,270.839996337891,272.769989013672,269.940002441406,271.140014648438,953800,228.700531005859
2017-04-28,271.070007324219,271.540008544922,268.619995117188,269.450012207031,1004200,227.275085449219
2017-05-01,269.549987792969,270.109985351562,268.369995117188,268.429992675781,841500,226.414657592773
2017-05-02,268.190002441406,269.869995117188,268,269.489990234375,737100,227.30876159668
2017-05-03,268.75,269.950012207031,268.200012207031,269.600006103516,636500,227.401596069336
2017-05-04,269.869995117188,270.709991455078,268.859985351562,270.510009765625,691100,228.169128417969
2017-05-05,270.679992675781,273.100006103516,270.209991455078,273.029998779297,812700,230.294662475586
2017-05-08,272.920013427734,274,272.100006103516,272.5,674800,229.847671508789
2017-05-09,273,274.220001220703,272.269989013672,273.869995117188,897900,231.003265380859
2017-05-10,272.880004882812,273.709991455078,270.170013427734,271.739990234375,934500,229.206619262695
2017-05-11,271.140014648438,272.25,270.200012207031,272.089996337891,605500,229.501800537109
2017-05-12,270.910003662109,271.700012207031,270.75,271.260009765625,599700,228.801788330078
2017-05-15,271.279998779297,272.470001220703,271.049987792969,272.350006103516,616500,229.721130371094
2017-05-16,272.079986572266,273.260009765625,271.429992675781,271.649993896484,614100,229.130722045898
2017-05-17,271.649993896484,271.649993896484,268.910003662109,269.239990234375,943300,227.097930908203
2017-05-18,268.540008544922,269,266.010009765625,267.320007324219,1245900,225.478469848633
2017-05-19,268.700012207031,272.880004882812,268.109985351562,272.790008544922,1254100,230.09228515625
2017-05-22,280.790008544922,280.790008544922,276.220001220703,277.029998779297,1601200,233.668594360352
2017-05-23,278,278.619995117188,276.100006103516,278.359985351562,874700,234.790451049805
2017-05-24,278.220001220703,280.559997558594,278.109985351562,280.049987792969,871700,236.215866088867
2017-05-25,281,282.329986572266,280.559997558594,282.059997558594,834300,237.911209106445
2017-05-26,282.040008544922,284,281.540008544922,283.649993896484,854600,239.252410888672
2017-05-30,281.829986572266,282.839996337891,279.730010986328,280.089996337891,902200,237.775314331055
2017-05-31,279.470001220703,281.279998779297,279.269989013672,281.130004882812,1506600,238.658187866211
2017-06-01,281.179992675781,281.700012207031,279.5,280.959991455078,829300,238.513870239258
2017-06-02,281.279998779297,282.890014648438,280.75,281.760009765625,748500,239.192993164062
2017-06-05,281.5,282.299987792969,280.089996337891,280.130004882812,622500,237.809280395508
2017-06-06,279.540008544922,279.950012207031,276.720001220703,276.880004882812,890800,235.050262451172
2017-06-07,277.410003662109,277.850006103516,276.239990234375,277.380004882812,658900,235.474731445312
2017-06-08,277.380004882812,278.690002441406,276.670013427734,277.619995117188,1116400,235.678482055664
2017-06-09,277.660003662109,279.190002441406,276.609985351562,277,1021700,235.152084350586
2017-06-12,277,277.230010986328,273.920013427734,276.890014648438,835900,235.058746337891
2017-06-13,276.899993896484,278.940002441406,275.480010986328,278.359985351562,638500,236.306655883789
2017-06-14,278.100006103516,282.320007324219,278,280.299987792969,828900,237.953552246094
2017-06-15,279.75,281.570007324219,277.769989013672,280.929992675781,617700,238.488433837891
2017-06-16,282.130004882812,282.279998779297,280.679992675781,281.109985351562,1287600,238.641159057617
2017-06-19,281.75,284.480010986328,281.390014648438,282.299987792969,1064100,239.651412963867
2017-06-20,282.950012207031,284.980010986328,282.399993896484,282.890014648438,967600,240.15234375
2017-06-21,283.679992675781,284.019989013672,282.339996337891,282.989990234375,801400,240.237213134766
2017-06-22,282.730010986328,283.709991455078,280.380004882812,280.429992675781,694000,238.063934326172
2017-06-23,280.029998779297,281.480010986328,280.029998779297,280.640014648438,1026800,238.242218017578
2017-06-26,281.170013427734,283.200012207031,279.489990234375,279.700012207031,886500,237.44416809082
2017-06-27,279.320007324219,280.209991455078,277.829986572266,277.829986572266,740500,235.856719970703
2017-06-28,279.079986572266,280.920013427734,278.369995117188,280.019989013672,955700,237.715866088867
2017-06-29,279.850006103516,279.850006103516,274.690002441406,276.730010986328,905200,234.922927856445
2017-06-30,277.619995117188,278.920013427734,276.320007324219,277.609985351562,1085900,235.669937133789
2017-07-03,277.390014648438,280.480010986328,277.200012207031,278.920013427734,462800,236.782104492188
2017-07-05,279.5,283.720001220703,279.399993896484,282.399993896484,869500,239.736312866211
2017-07-06,282,283.480010986328,280.399993896484,280.959991455078,766000,238.513870239258
2017-07-07,281.660003662109,286.950012207031,281.5,285.200012207031,1197200,242.113327026367
2017-07-10,285.5,287.910003662109,284.220001220703,285.570007324219,1347800,242.42741394043
2017-07-11,285.570007324219,287.75,285.059997558594,286.420013427734,915600,243.149017333984
2017-07-12,287.149993896484,288.769989013672,286.359985351562,286.359985351562,812600,243.098068237305
2017-07-13,287.119995117188,287.850006103516,285.779998779297,286.760009765625,705100,243.437698364258
2017-07-14,287.049987792969,288.769989013672,286.709991455078,288.130004882812,887900,244.600631713867
2017-07-17,288.5,290.059997558594,287.609985351562,288.489990234375,1319300,244.90625
2017-07-18,290.640014648438,292.970001220703,286.029998779297,286.790008544922,1811000,243.463134765625
2017-07-19,287.679992675781,291.279998779297,287.040008544922,290.670013427734,1139700,246.756973266602
2017-07-20,290.579986572266,290.739990234375,288.940002441406,289.670013427734,1150900,245.908004760742
2017-07-21,288.299987792969,290.070007324219,286.859985351562,289.119995117188,1230100,245.44108581543
2017-07-24,289.470001220703,291.239990234375,289.200012207031,290.279998779297,768700,246.425827026367
2017-07-25,291.480010986328,292.070007324219,289.720001220703,289.829986572266,805200,246.043869018555
2017-07-26,290.820007324219,290.989990234375,288.769989013672,289.850006103516,882400,246.060775756836
2017-07-27,290.200012207031,290.489990234375,286.170013427734,288.130004882812,1117400,244.600631713867
2017-07-28,288.070007324219,290.769989013672,286.579986572266,290.410003662109,1086200,246.536224365234
2017-07-31,291.420013427734,293.839996337891,291.029998779297,292.130004882812,1139200,247.996368408203
2017-08-01,293.929992675781,294.329986572266,291.899993896484,292.649993896484,1036700,248.437805175781
2017-08-02,292.730010986328,294.839996337891,292.149993896484,294.700012207031,983700,250.178085327148
2017-08-03,294,295.910003662109,292.799987792969,295.820007324219,983600,251.128967285156
2017-08-04,296.269989013672,297,295.040008544922,297,796400,252.130599975586
2017-08-07,297.309997558594,297.730010986328,296.600006103516,297.149993896484,769100,252.257949829102
